6,6,15
7,6,14
7,6,15
8,6,9
8,6,10
8,6,13
8,6,14
8,6,15
8,6,16
9,6,9
9,6,10
9,6,11
9,6,12
9,6,13
9,6,14
9,6,15
9,6,16
9,6,17
10,3,14
10,3,15
10,3,16
10,6,9
10,6,10
10,6,11
10,6,12
10,6,13
10,6,14
10,6,15
10,6,17
10,6,18
11,3,13
11,3,14
11,3,15
11,3,16
11,3,17
11,3,18
11,3,19
11,3,20
11,3,21
11,3,22
11,3,23
11,3,24
11,3,25
11,3,26
11,3,27
11,3,28
11,3,29
11,3,30
11,3,31
11,6,7
11,6,8
11,6,9
11,6,10
11,6,11
11,6,12
11,6,13
11,6,14
11,6,15
11,6,16
11,6,17
11,6,18
12,3,12
12,3,13
12,3,14
12,3,15
12,3,16
12,3,17
12,3,18
12,3,19
12,6,7
12,6,9
12,6,10
12,6,11
12,6,12
12,6,13
12,6,14
12,6,15
12,6,16
12,6,17
12,6,18
12,6,19
13,3,11
13,3,12
13,3,13
13,3,14
13,3,15
13,3,16
13,3,17
13,3,18
13,3,19
13,6,7
13,6,8
13,6,9
13,6,10
13,6,11
13,6,12
13,6,13
13,6,14
13,6,15
13,6,16
13,6,17
13,6,19
14,3,12
14,3,13
14,3,14
14,3,15
14,3,16
14,3,17
14,3,18
14,3,19
14,6,7
14,6,8
14,6,9
14,6,10
14,6,11
14,6,12
14,6,13
14,6,14
14,6,15
14,6,16
14,6,17
14,6,18
14,6,19
14,6,20
15,3,12
15,3,13
15,3,14
15,3,15
15,3,16
15,3,17
15,3,18
15,6,7
15,6,8
15,6,9
15,6,10
15,6,11
15,6,12
15,6,13
15,6,14
15,6,15
15,6,16
15,6,17
15,6,19
16,3,13
16,3,14
16,3,15
16,3,16
16,3,17
16,3,18
16,3,19
16,6,8
16,6,10
16,6,11
16,6,12
16,6,13
16,6,14
16,6,15
16,6,16
16,6,17
16,6,18
17,3,13
17,3,14
17,3,15
17,3,16
17,3,17
17,6,11
17,6,12
17,6,13
17,6,14
17,6,15
17,6,16
17,6,17
17,6,18
18,6,9
18,6,10
18,6,12
18,6,13
18,6,14
18,6,15
18,6,16
18,6,17
18,6,18
18,6,19
19,6,10
19,6,11
19,6,14
19,6,15
19,6,16
